
2079460006;
8;1;02079460025
9;1;02079460025
10;1;02079460025
11;1;02079460025
12;1;02079460025
13;1;02079460025
14;1;02079460025
15;1;02079460025
16;1;02079460025

2079460026;
1;1;02079460026
2;1;02079460026
3;1;02079460026
4;1;02079460026
5;1;02079460026
6;1;02079460026
7;1;02079460026
8;1;02079460026
9;1;02079460026
10;1;02079460026
11;1;02079460026
12;1;02079460026
13;1;02079460026
14;1;02079460026
15;1;02079460026
16;1;02079460026

2079460027;
1;1;02079460027
2;1;02079460027
3;1;02079460027
4;1;02079460027
5;1;02079460027
6;1;02079460027
7;1;02079460027
8;1;02079460027
9;1;02079460027
10;1;02079460027
11;1;02079460027
12;1;02079460027
13;1;02079460027
14;1;02079460027
15;1;02079460027
16;1;02079460027

2079460028;
1;1;02079460028
2;1;02079460028
3;1;02079460028
4;1;02079460028
5;1;02079460028
6;1;02079460028
7;1;02079460028
8;1;02079460028
9;1;02079460028
10;1;02079460028
11;1;02079460028
12;1;02079460028
13;1;02079460028
14;1;02079460028
15;1;02079460028
16;1;02079460028

2079460029;
1;1;02079460029
2;1;02079460029
3;1;02079460029
4;1;02079460029
5;1;02079460029
6;1;02079460029
7;1;02079460029
8;1;02079460029
9;1;02079460029
10;1;02079460029
11;1;02079460029
12;1;02079460029
13;1;02079460029
14;1;02079460029
15;1;02079460029
16;1;02079460029

2079460030;
1;1;02079460030
2;1;02079460030
3;1;02079460030
4;1;02079460030
5;1;02079460030
6;1;02079460030
7;1;02079460030
8;1;02079460030
9;1;02079460030
10;1;02079460030
11;1;02079460030
12;1;02079460030
13;1;02079460030
14;1;02079460030
15;1;02079460030
16;1;02079460030

2079460031;
1;1;02079460031
2;1;02079460031
3;1;02079460031
4;1;02079460031
5;1;02079460031
6;1;02079460031
7;1;02079460031
8;1;02079460031
9;1;02079460031
10;1;02079460031
11;1;02079460031
12;1;02079460031
13;1;02079460031
14;1;02079460031
15;1;02079460031
16;1;02079460031

2079460032;
1;1;02079460032
2;1;02079460032
3;1;02079460032
4;1;02079460032
5;1;02079460032
6;1;02079460032
7;1;02079460032
8;1;02079460032
9;1;02079460032
10;1;02079460032
11;1;02079460032
12;1;02079460032
13;1;02079460032
14;1;02079460032
15;1;02079460032
16;1;02079460032

2079460033;
1;1;02079460033
2;1;02079460033
3;1;02079460033
4;1;02079460033
5;1;02079460033
6;1;02079460033
7;1;02079460033
8;1;02079460033
9;1;02079460033
10;1;02079460033
11;1;02079460033
12;1;02079460033
13;1;02079460033
14;1;02079460033
15;1;02079460033
16;1;02079460033

2079460034;
1;1;02079460034
2;1;02079460034
3;1;02079460034
4;1;02079460034
5;1;02079460034
6;1;02079460034
7;1;02079460034
8;1;02079460034
9;1;02079460034
10;1;02079460034
11;1;02079460034
12;1;02079460034
13;1;02079460034
14;1;02079460034
15;1;02079460034
16;1;02079460034

2079460035;
1;1;02079460035
2;1;02079460035
3;1;02079460035
4;1;02079460035
5;1;02079460035
6;1;02079460035
7;1;02079460035
8;1;02079460035
9;1;02079460035
10;1;02079460035
11;1;02079460035
12;1;02079460035
13;1;02079460035
14;1;02079460035
15;1;02079460035
16;1;02079460035

2079460036;
1;1;02079460036
2;1;02079460036
3;1;02079460036
4;1;02079460036
5;1;02079460036
6;1;02079460036
7;1;02079460036
8;1;02079460036
9;1;02079460036
10;1;02079460036
11;1;02079460036
12;1;02079460036
13;1;02079460036
14;1;02079460036
15;1;02079460036
16;1;02079460036

2079460037;
1;1;02079460037
2;1;02079460037
3;1;02079460037
4;1;02079460037
5;1;02079460037
6;1;02079460037
7;1;02079460037
8;1;02079460037
9;1;02079460037
10;1;02079460037
11;1;02079460037
12;1;02079460037
13;1;02079460037
14;1;02079460037
15;1;02079460037
16;1;02079460037

2079460038;
1;1;02079460038
2;1;02079460038
3;1;02079460038
4;1;02079460038
5;1;02079460038
6;1;02079460038
7;1;02079460038
8;1;02079460038
9;1;02079460038
10;1;02079460038
11;1;02079460038
12;1;02079460038
13;1;02079460038
14;1;02079460038
15;1;02079460038
16;1;02079460038

2079460039;
1;1;02079460039
2;1;02079460039
3;1;02079460039
4;1;02079460039
5;1;02079460039
6;1;02079460039
7;1;02079460039
8;1;02079460039
9;1;02079460039
10;1;02079460039
11;1;02079460039
12;1;02079460039
13;1;02079460039
14;1;02079460039
15;1;02079460039
16;1;02079460039

2079460040;
1;1;02079460040
2;1;02079460040
3;1;02079460040
4;1;02079460040
5;1;02079460040
6;1;02079460040
7;1;02079460040
8;1;02079460040
9;1;02079460040
10;1;02079460040
11;1;02079460040
12;1;02079460040
13;1;02079460040
14;1;02079460040
15;1;02079460040
16;1;02079460040

2079460041;
1;1;02079460041
2;1;02079460041
3;1;02079460041
4;1;02079460041
5;1;02079460041
6;1;02079460041
7;1;02079460041
8;1;02079460041
9;1;02079460041
10;1;02079460041
11;1;02079460041
12;1;02079460041
13;1;02079460041
14;1;02079460041
15;1;02079460041
16;1;02079460041

2079460042;
1;1;02079460042
2;1;02079460042
3;1;02079460042
4;1;02079460042
5;1;02079460042
6;1;02079460042
7;1;02079460042
8;1;02079460042
9;1;02079460042
10;1;02079460042
11;1;02079460042
12;1;02079460042
13;1;02079460042
14;1;02079460042
15;1;02079460042
16;1;02079460042

2079460043;
1;1;02079460043
2;1;02079460043
3;1;02079460043
4;1;02079460043
5;1;02079460043
6;1;02079460043
7;1;02079460043
8;1;02079460043
9;1;02079460043
10;1;02079460043
11;1;02079460043
12;1;02079460043
13;1;02079460043
14;1;02079460043
15;1;02079460043
16;1;02079460043

2079460044;
1;1;02079460044
2;1;02079460044
3;1;02079460044
4;1;02079460044
5;1;02079460044
6;1;02079460044
7;1;02079460044
8;1;02079460044
9;1;02079460044
10;1;02079460044
11;1;02079460044
12;1;02079460044
13;1;02079460044
14;1;02079460044
15;1;02079460044
16;1;02079460044

2079460045;
1;1;02079460045
2;1;02079460045
3;1;02079460045
4;1;02079460045
5;1;02079460045
6;1;02079460045
7;1;02079460045
8;1;02079460045
9;1;02079460045
10;1;02079460045
11;1;02079460045
12;1;02079460045
13;1;02079460045
14;1;02079460045
15;1;02079460045
16;1;02079460045

2079460046;
1;1;02079460046
2;1;02079460046
3;1;02079460046
4;1;02079460046
5;1;02079460046
6;1;02079460046
7;1;02079460046
8;1;02079460046
9;1;02079460046
10;1;02079460046
11;1;02079460046
12;1;02079460046
13;1;02079460046
14;1;02079460046
15;1;02079460046
16;1;02079460046

2079460047;
1;1;02079460047
2;1;02079460047
3;1;02079460047
4;1;02079460047
5;1;02079460047
6;1;02079460047
7;1;02079460047
8;1;02079460047
9;1;02079460047
10;1;02079460047
11;1;02079460047
12;1;02079460047
13;1;02079460047
14;1;02079460047
15;1;02079460047
16;1;02079460047

2079460048;
1;1;02079460048
2;1;02079460048
3;1;02079460048
4;1;02079460048
5;1;02079460048
6;1;02079460048
7;1;02079460048
8;1;02079460048
9;1;02079460048
10;1;02079460048
11;1;02079460048
12;1;02079460048
13;1;02079460048
14;1;02079460048
15;1;02079460048
16;1;02079460048

2079460049;
1;1;02079460049
2;1;02079460049
3;1;02079460049
4;1;02079460049
5;1;02079460049
6;1;02079460049
7;1;02079460049
8;1;02079460049
9;1;02079460049
10;1;02079460049
11;1;02079460049
12;1;02079460049
13;1;02079460049
14;1;02079460049
15;1;02079460049
16;1;02079460049

2079460050;
1;1;02079460050
2;1;02079460050
3;1;02079460050
4;1;02079460050
5;1;02079460050
6;1;02079460050
7;1;02079460050
8;1;02079460050
9;1;02079460050
10;1;02079460050
11;1;02079460050
12;1;02079460050
13;1;02079460050
14;1;02079460050
15;1;02079460050
16;1;02079460050

2079460051;
1;1;02079460051
2;1;02079460051
3;1;02079460051
4;1;02079460051
5;1;02079460051
6;1;02079460051
7;1;02079460051
8;1;02079460051
9;1;02079460051
10;1;02079460051
11;1;02079460051
12;1;02079460051
13;1;02079460051
14;1;02079460051
15;1;02079460051
16;1;02079460051

2079460052;
1;1;02079460052
2;1;02079460052
3;1;02079460052
4;1;02079460052
5;1;02079460052
6;1;02079460052
7;1;02079460052
8;1;02079460052
9;1;02079460052
10;1;02079460052
11;1;02079460052
12;1;02079460052
13;1;02079460052
14;1;02079460052
15;1;02079460052
16;1;02079460052

2079460053;
1;1;02079460053
2;1;02079460053
3;1;02079460053
4;1;02079460053
5;1;02079460053
6;1;02079460053
7;1;02079460053
8;1;02079460053
9;1;02079460053
10;1;02079460053
11;1;02079460053
12;1;02079460053
13;1;02079460053
14;1;02079460053
15;1;02079460053
16;1;02079460053

2079460054;
1;1;02079460054
2;1;02079460054
3;1;02079460054
4;1;02079460054
5;1;02079460054
6;1;02079460054
7;1;02079460054
8;1;02079460054
9;1;02079460054
10;1;02079460054
11;1;02079460054
12;1;02079460054
13;1;02079460054
14;1;02079460054
15;1;02079460054
16;1;02079460054

2079460055;
1;1;02079460055
2;1;02079460055
3;1;02079460055
4;1;02079460055
5;1;02079460055
6;1;02079460055
7;1;02079460055
8;1;02079460055
9;1;02079460055
10;1;02079460055
11;1;02079460055
12;1;02079460055
13;1;02079460055
14;1;02079460055
15;1;02079460055
16;1;02079460055

2079460056;
1;1;02079460056
2;1;02079460056
3;1;02079460056
4;1;02079460056
5;1;02079460056
6;1;02079460056
7;1;02079460056
8;1;02079460056
9;1;02079460056
10;1;02079460056
11;1;02079460056
12;1;02079460056
13;1;02079460056
14;1;02079460056
15;1;02079460056
16;1;02079460056

2079460057;
1;1;02079460057
2;1;02079460057
3;1;02079460057
4;1;02079460057
5;1;02079460057
6;1;02079460057
7;1;02079460057
8;1;02079460057
9;1;02079460057
10;1;02079460057
11;1;02079460057
12;1;02079460057
13;1;02079460057
14;1;02079460057
15;1;02079460057
16;1;02079460057

2079460058;
1;1;02079460058
2;1;02079460058
3;1;02079460058
4;1;02079460058
5;1;02079460058
6;1;02079460058
7;1;02079460058
8;1;02079460058
9;1;02079460058
10;1;02079460058
11;1;02079460058
12;1;02079460058
13;1;02079460058
14;1;02079460058
15;1;02079460058
16;1;02079460058

2079460059;
1;1;02079460059
2;1;02079460059
3;1;02079460059
4;1;02079460059
5;1;02079460059
6;1;02079460059
7;1;02079460059
8;1;02079460059
9;1;02079460059
10;1;02079460059
11;1;02079460059
12;1;02079460059
13;1;02079460059
14;1;02079460059
15;1;02079460059
16;1;02079460059

2079460060;
1;1;02079460060
2;1;02079460060
3;1;02079460060
4;1;02079460060
5;1;02079460060
6;1;02079460060
7;1;02079460060
8;1;02079460060
9;1;02079460060
10;1;02079460060
11;1;02079460060
12;1;02079460060
13;1;02079460060
14;1;02079460060
15;1;02079460060
16;1;02079460060

2079460061;
1;1;02079460061
2;1;02079460061
3;1;02079460061
4;1;02079460061
5;1;02079460061
6;1;02079460061
7;1;02079460061
8;1;02079460061
9;1;02079460061
10;1;02079460061
11;1;02079460061
12;1;02079460061
13;1;02079460061
14;1;02079460061
15;1;02079460061
16;1;02079460061

2079460062;
1;1;02079460062
2;1;02079460062
3;1;02079460062
4;1;02079460062
5;1;02079460062
6;1;02079460062
7;1;02079460062
8;1;02079460062
9;1;02079460062
10;1;02079460062
11;1;02079460062
12;1;02079460062
13;1;02079460062
14;1;02079460062
15;1;02079460062
16;1;02079460062

2079460063;
1;1;02079460063
2;1;02079460063
3;1;02079460063
4;1;02079460063
5;1;02079460063
6;1;02079460063
7;1;02079460063
8;1;02079460063
9;1;02079460063
10;1;02079460063
11;1;02079460063
12;1;02079460063
13;1;02079460063
14;1;02079460063
15;1;02079460063
16;1;02079460063

2079460064;
1;1;02079460064
2;1;02079460064
3;1;02079460064
4;1;02079460064
5;1;02079460064
6;1;02079460064
7;1;02079460064
8;1;02079460064
9;1;02079460064
10;1;02079460064
11;1;02079460064
12;1;02079460064
13;1;02079460064
14;1;02079460064
15;1;02079460064
16;1;02079460064

2079460065;
1;1;02079460065
2;1;02079460065
3;1;02079460065
4;1;02079460065
5;1;02079460065
6;1;02079460065
7;1;02079460065
8;1;02079460065
9;1;02079460065
10;1;02079460065
11;1;02079460065
12;1;02079460065
13;1;02079460065
14;1;02079460065
15;1;02079460065
16;1;02079460065

2079460066;
1;1;02079460066
2;1;02079460066
3;1;02079460066
4;1;02079460066
5;1;02079460066
6;1;02079460066
7;1;02079460066
8;1;02079460066
9;1;02079460066
10;1;02079460066
11;1;02079460066
12;1;02079460066
13;1;02079460066
14;1;02079460066
15;1;02079460066
16;1;02079460066

2079460067;
1;1;02079460067
2;1;02079460067
3;1;02079460067
4;1;02079460067
5;1;02079460067
6;1;02079460067
7;1;02079460067
8;1;02079460067
9;1;02079460067
10;1;02079460067
11;1;02079460067
12;1;02079460067
13;1;02079460067
14;1;02079460067
15;1;02079460067
16;1;02079460067

2079460068;
1;1;02079460068
2;1;02079460068
3;1;02079460068
4;1;02079460068
5;1;02079460068
6;1;02079460068
7;1;02079460068
8;1;02079460068
9;1;02079460068
10;1;02079460068
11;1;02079460068
12;1;02079460068
13;1;02079460068
14;1;02079460068
15;1;02079460068
16;1;02079460068

2079460069;
1;1;02079460069
2;1;02079460069
3;1;02079460069
4;1;02079460069
5;1;02079460069
6;1;02079460069
7;1;02079460069
8;1;02079460069
9;1;02079460069
10;1;02079460069
11;1;02079460069
12;1;02079460069
13;1;02079460069
14;1;02079460069
15;1;02079460069
16;1;02079460069

2079460070;
1;1;02079460070
2;1;02079460070
3;1;02079460070
4;1;02079460070
5;1;02079460070
6;1;02079460070
7;1;02079460070
8;1;02079460070
9;1;02079460070
10;1;02079460070
11;1;02079460070
12;1;02079460070
13;1;02079460070
14;1;02079460070
15;1;02079460070
16;1;02079460070

2079460071;
1;1;02079460071
2;1;02079460071
3;1;02079460071
4;1;02079460071
5;1;02079460071
6;1;02079460071
7;1;02079460071
8;1;02079460071
9;1;02079460071
10;1;02079460071
11;1;02079460071
12;1;02079460071
13;1;02079460071
14;1;02079460071
15;1;02079460071
16;1;02079460071

2079460072;
1;1;02079460072
2;1;02079460072
3;1;02079460072
4;1;02079460072
5;1;02079460072
6;1;02079460072
7;1;02079460072
8;1;02079460072
9;1;02079460072
10;1;02079460072
11;1;02079460072
12;1;02079460072
13;1;02079460072
14;1;02079460072
15;1;02079460072
16;1;02079460072

2079460073;
1;1;02079460073
2;1;02079460073
3;1;02079460073
4;1;02079460073
5;1;02079460073
6;1;02079460073
7;1;02079460073
8;1;02079460073
9;1;02079460073
10;1;02079460073
11;1;02079460073
12;1;02079460073
13;1;02079460073
14;1;02079460073
15;1;02079460073
16;1;02079460073

2079460074;
1;1;02079460074
2;1;02079460074
3;1;02079460074
4;1;02079460074
5;1;02079460074
6;1;02079460074
7;1;02079460074
8;1;02079460074
9;1;02079460074
10;1;02079460074
11;1;02079460074
12;1;02079460074
13;1;02079460074
14;1;02079460074
15;1;02079460074
16;1;02079460074

2079460075;
1;1;02079460075
2;1;02079460075
3;1;02079460075
4;1;02079460075
5;1;02079460075
6;1;02079460075
7;1;02079460075
8;1;02079460075
9;1;02079460075
10;1;02079460075
11;1;02079460075
12;1;02079460075
13;1;02079460075
14;1;02079460075
15;1;02079460075
16;1;02079460075

2079460076;
1;1;02079460076
2;1;02079460076
3;1;02079460076
4;1;02079460076
5;1;02079460076
6;1;02079460076
7;1;02079460076
8;1;02079460076
9;1;02079460076
10;1;02079460076
11;1;02079460076
12;1;02079460076
13;1;02079460076
14;1;02079460076
15;1;02079460076
16;1;02079460076

2079460077;
1;1;02079460077
2;1;02079460077
3;1;02079460077
4;1;02079460077
5;1;02079460077
6;1;02079460077
7;1;02079460077
8;1;02079460077
9;1;02079460077
10;1;02079460077
11;1;02079460077
12;1;02079460077
13;1;02079460077
14;1;02079460077
15;1;02079460077
16;1;02079460077

2079460078;
1;1;02079460078
2;1;02079460078
3;1;02079460078
4;1;02079460078
5;1;02079460078
6;1;02079460078
7;1;02079460078
8;1;02079460078
9;1;02079460078
10;1;02079460078
11;1;02079460078
12;1;02079460078
13;1;02079460078
14;1;02079460078
15;1;02079460078
16;1;02079460078

2079460079;
1;1;02079460079
2;1;02079460079
3;1;02079460079
4;1;02079460079
5;1;02079460079
6;1;02079460079
7;1;02079460079
8;1;02079460079
9;1;02079460079
10;1;02079460079
11;1;02079460079
12;1;02079460079
13;1;02079460079
14;1;02079460079
15;1;02079460079
16;1;02079460079

2079460080;
1;1;02079460080
2;1;02079460080
3;1;02079460080
4;1;02079460080
5;1;02079460080
6;1;02079460080
7;1;02079460080
8;1;02079460080
9;1;02079460080
10;1;02079460080
11;1;02079460080
12;1;02079460080
13;1;02079460080
14;1;02079460080
15;1;02079460080
16;1;02079460080

2079460081;
1;1;02079460081
2;1;02079460081
3;1;02079460081
4;1;02079460081
5;1;02079460081
6;1;02079460081
7;1;02079460081
8;1;02079460081
9;1;02079460081
10;1;02079460081
11;1;02079460081
12;1;02079460081
13;1;02079460081
14;1;02079460081
15;1;02079460081
16;1;02079460081

2079460082;
1;1;02079460082
2;1;02079460082
3;1;02079460082
4;1;02079460082
5;1;02079460082
6;1;02079460082
7;1;02079460082
8;1;02079460082
9;1;02079460082
10;1;02079460082
11;1;02079460082
12;1;02079460082
13;1;02079460082
14;1;02079460082
15;1;02079460082
16;1;02079460082

2079460083;
1;1;02079460083
2;1;02079460083
3;1;02079460083
4;1;02079460083
5;1;02079460083
6;1;02079460083
7;1;02079460083
8;1;02079460083
9;1;02079460083
10;1;02079460083
11;1;02079460083
12;1;02079460083
13;1;02079460083
14;1;02079460083
15;1;02079460083
16;1;02079460083

2079460084;
1;1;02079460084
2;1;02079460084
3;1;02079460084
4;1;02079460084
5;1;02079460084
6;1;02079460084
7;1;02079460084
8;1;02079460084
9;1;02079460084
10;1;02079460084
11;1;02079460084
12;1;02079460084
13;1;02079460084
14;1;02079460084
15;1;02079460084
16;1;02079460084

2079460085;
1;1;02079460085
2;1;02079460085
3;1;02079460085
4;1;02079460085
5;1;02079460085
6;1;02079460085
7;1;02079460085
8;1;02079460085
9;1;02079460085
10;1;02079460085
11;1;02079460085
12;1;02079460085
13;1;02079460085
14;1;02079460085
15;1;02079460085
16;1;02079460085

2079460086;
1;1;02079460086
2;1;02079460086
3;1;02079460086
4;1;02079460086
5;1;02079460086
6;1;02079460086
7;1;02079460086
8;1;02079460086
9;1;02079460086
10;1;02079460086
11;1;02079460086
12;1;02079460086
13;1;02079460086
14;1;02079460086
15;1;02079460086
16;1;02079460086

2079460087;
1;1;02079460087
2;1;02079460087
3;1;02079460087
4;1;02079460087
5;1;02079460087
6;1;02079460087
7;1;02079460087
8;1;02079460087
9;1;02079460087
10;1;02079460087
11;1;02079460087
12;1;02079460087
13;1;02079460087
14;1;02079460087
15;1;02079460087
16;1;02079460087

2079460088;
1;1;02079460088
2;1;02079460088
3;1;02079460088
4;1;02079460088
5;1;02079460088
6;1;02079460088
7;1;02079460088
8;1;02079460088
9;1;02079460088
10;1;02079460088
11;1;02079460088
12;1;02079460088
13;1;02079460088
14;1;02079460088
15;1;02079460088
16;1;02079460088

2079460089;
1;1;02079460089
2;1;02079460089
3;1;02079460089
4;1;02079460089
5;1;02079460089
6;1;02079460089
7;1;02079460089
8;1;02079460089
9;1;02079460089
10;1;02079460089
11;1;02079460089
12;1;02079460089
13;1;02079460089
14;1;02079460089
15;1;02079460089
16;1;02079460089

2079460090;
1;1;02079460090
2;1;02079460090
3;1;02079460090
4;1;02079460090
5;1;02079460090
6;1;02079460090
7;1;02079460090
8;1;02079460090
9;1;02079460090
10;1;02079460090
11;1;02079460090
12;1;02079460090
13;1;02079460090
14;1;02079460090
15;1;02079460090
16;1;02079460090

2079460091;
1;1;02079460091
2;1;02079460091
3;1;02079460091
4;1;02079460091
5;1;02079460091
6;1;02079460091
7;1;02079460091
8;1;02079460091
9;1;02079460091
10;1;02079460091
11;1;02079460091
12;1;02079460091
13;1;02079460091
14;1;02079460091
15;1;02079460091
16;1;02079460091

2079460092;
1;1;02079460092
2;1;02079460092
3;1;02079460092
4;1;02079460092
5;1;02079460092
6;1;02079460092
7;1;02079460092
8;1;02079460092
9;1;02079460092
10;1;02079460092
11;1;02079460092
12;1;02079460092
13;1;02079460092
14;1;02079460092
15;1;02079460092
16;1;02079460092

2079460093;
1;1;02079460093
2;1;02079460093
3;1;02079460093
4;1;02079460093
5;1;02079460093
6;1;02079460093
7;1;02079460093
8;1;02079460093
9;1;02079460093
10;1;02079460093
11;1;02079460093
12;1;02079460093
13;1;02079460093
14;1;02079460093
15;1;02079460093
16;1;02079460093

2079460094;
1;1;02079460094
2;1;02079460094
3;1;02079460094
4;1;02079460094
5;1;02079460094
6;1;02079460094
7;1;02079460094
8;1;02079460094
9;1;02079460094
10;1;02079460094
11;1;02079460094
12;1;02079460094
13;1;02079460094
14;1;02079460094
15;1;02079460094
16;1;02079460094

2079460095;
1;1;02079460095
2;1;02079460095
3;1;02079460095
4;1;02079460095
5;1;02079460095
6;1;02079460095
7;1;02079460095
8;1;02079460095
9;1;02079460095
10;1;02079460095
11;1;02079460095
12;1;02079460095
13;1;02079460095
14;1;02079460095
15;1;02079460095
16;1;02079460095

2079460096;
1;1;02079460096
2;1;02079460096
3;1;02079460096
4;1;02079460096
5;1;02079460096
6;1;02079460096
7;1;02079460096
8;1;02079460096
9;1;02079460096
10;1;02079460096
11;1;02079460096
12;1;02079460096
13;1;02079460096
14;1;02079460096
15;1;02079460096
16;1;02079460096

2079460097;
1;1;02079460097
2;1;02079460097
3;1;02079460097
4;1;02079460097
5;1;02079460097
6;1;02079460097
7;1;02079460097
8;1;02079460097
9;1;02079460097
10;1;02079460097
11;1;02079460097
12;1;02079460097
13;1;02079460097
14;1;02079460097
15;1;02079460097
16;1;02079460097

2079460098;
1;1;02079460098
2;1;02079460098
3;1;02079460098
4;1;02079460098
5;1;02079460098
6;1;02079460098
